id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,id_player,GK,S,M,D,F
356_14-15_bundesliga,Alexander Meier,26,2209,19,15.395941108465195,2,1.2686937591060996,80,22,0,0,F M S,Eintracht Frankfurt,16,12.36483433842659,12.408789467066526,1.9156581219285729,356,0,1,1,0,1
227_14-15_bundesliga,Robert Lewandowski,31,2493,17,17.72218335047364,5,4.644012805074453,104,32,0,0,F M S,Bayern Munich,16,16.96440664306283,23.31542954593897,4.924822298809887,227,0,1,1,0,1
392_14-15_bundesliga,Arjen Robben,21,1681,17,10.364112377166748,7,7.505969855934381,88,50,0,0,D F M S,Bayern Munich,15,8.848720371723177,20.820983182638887,8.605793077498674,392,0,1,1,1,1
158_14-15_bundesliga,Bas Dost,21,1532,16,11.341977171599865,4,2.6591864526271816,43,15,1,0,F S,Wolfsburg,16,11.341977171599865,15.911891400814055,2.5383058693259954,158,0,1,0,0,1
318_14-15_bundesliga,Pierre-Emerick Aubameyang,33,2724,16,15.39676003716886,6,6.378020296804607,102,46,4,0,F M S,Borussia Dortmund,14,13.881206726655366,20.85272805951536,2.5126496041193604,318,0,1,1,0,1
224_14-15_bundesliga,Thomas Müller,32,2382,13,14.078099107369779,10,6.459182882681488,83,40,1,0,F M S,Bayern Munich,10,11.804769014939664,23.158116556704048,6.3404814545065165,224,0,1,1,0,1
341_14-15_bundesliga,Franco Di Santo,26,2301,13,9.417811661958693,2,1.789213925600052,54,24,8,0,F,Werder Bremen,10,6.386785261332989,9.53252488002181,2.3856413885951038,341,0,0,0,0,1
186_14-15_bundesliga,Karim Bellarabi,33,2731,12,10.108170365914704,6,4.981079136952758,104,45,5,0,F M S,Bayer Leverkusen,12,10.108170365914704,18.117623148486015,5.559335274621844,186,0,1,1,0,1
210_14-15_bundesliga,Raffael,31,2386,12,10.890814747661352,2,4.342748397961259,67,42,1,0,F M S,Borussia M.Gladbach,12,10.890814747661352,20.307476133108143,8.150455221533775,210,0,1,1,0,1
754_14-15_bundesliga,Shinji Okazaki,32,2787,12,9.832703720778227,3,3.273493112064898,59,26,4,0,F S,Mainz 05,12,9.832703720778227,12.567015416920185,2.3566635400056843,754,0,1,0,0,1
155_14-15_bundesliga,Max Kruse,32,2586,11,11.078691450878976,9,8.653631360270081,65,77,2,0,F S,Borussia M.Gladbach,8,8.805361384525895,21.175484623759985,9.910090547055006,155,0,1,0,0,1
420_14-15_bundesliga,Patrick Herrmann,32,2214,11,9.38436054252088,4,5.13144039735198,50,34,5,0,F M S,Borussia M.Gladbach,11,9.38436054252088,16.353563491255045,6.5801688553765425,420,0,1,1,0,1
453_14-15_bundesliga,Son Heung-Min,30,2305,11,5.3363220766186705,2,2.734232461079955,63,39,4,0,M S,Bayer Leverkusen,11,5.3363220766186705,10.994488790631292,5.067231614142656,453,0,1,1,0,0
119_14-15_bundesliga,Anthony Ujah,32,2357,10,7.9484022771939635,3,4.075046567246319,59,33,2,0,F S,FC Cologne,10,7.9484022771939635,12.668220597319305,3.0468336362391715,119,0,1,0,0,1
208_14-15_bundesliga,Lars Stindl,21,1798,10,6.093046851456165,3,3.359395724255592,51,33,7,1,M S,Hannover 96,9,5.3352701514959335,9.146012026816608,3.936733907088637,208,0,1,1,0,0
273_14-15_bundesliga,Raúl Bobadilla,32,2629,10,10.460197108797727,2,2.753971072845161,83,41,4,1,F M S,Augsburg,10,10.460197108797727,11.916068007238211,2.5326397139579058,273,0,1,1,0,1
291_14-15_bundesliga,Haris Seferovic,32,2855,10,9.434240296483038,5,5.471468250267208,94,34,8,1,F M,Eintracht Frankfurt,10,9.434240296483038,16.650211259722713,6.137011860497296,291,0,0,1,0,1
447_14-15_bundesliga,Kevin De Bruyne,34,3052,10,7.724068749696016,20,14.308946477249265,96,112,3,0,F M,Wolfsburg,10,7.724068749696016,29.501689936965704,13.275837222114205,447,0,0,1,0,1
190_14-15_bundesliga,Stefan Kießling,34,2583,9,10.359313758090137,4,2.71100805234164,56,35,4,0,F S,Bayer Leverkusen,9,10.359313758090137,13.720595912076533,3.6521135848015542,190,0,1,0,0,1
288_14-15_bundesliga,Stefan Aigner,28,2094,9,7.044449065811932,0,1.952588954009116,43,28,8,0,M S,Eintracht Frankfurt,9,7.044449065811932,10.180803447961805,3.5457278955727816,288,0,1,1,0,0
339_14-15_bundesliga,Eric Maxim Choupo-Moting,31,2559,9,7.072093487717211,6,4.776006793603301,68,36,0,0,F M S,Schalke 04,7,4.798763417638837,10.41534492187202,4.1288385447114715,339,0,1,1,0,1
